,SEG_ID,pointId,Animal,Archway,Bicyclist,Bridge,Building,Car,CartLuggagePram,Child,Column_Pole,Fence,LaneMkgsDriv,LaneMkgsNonDriv,Misc_Text,MotorcycleScooter,OtherMoving,ParkingBlock,Pedestrian,Road,RoadShoulder,Sidewalk,SignSymbol,Sky,SUVPickupTruck,TrafficCone,TrafficLight,Train,Tree,Truck_Bus,Tunnel,VegetationMisc,Void,Wall
0,300041,002875,13,2,2438,282,138442,41110,151,25,4094,3762,41,0,11620,3,4010,19191,2699,145928,2551,33878,18,196877,2252,16,2,0,194607,571,0,145991,72910,25092
0,441033,005702,17,4,159,70,524952,7125,29,0,7309,277,1735,0,1616,0,69,12191,211,190802,1944,23355,31,20884,4474,0,101,0,74185,435,0,30343,144166,2092
0,820251,004930,0,0,395,319,78486,42244,26,0,4374,1463,1047,0,4277,0,89,21184,790,84663,8901,25534,45,319898,3714,14,31,0,205314,4039,0,62485,130287,48957
0,840355,006380,0,9,405,2615,102395,36923,8,0,1085,1117,188,1,16702,1,772,15156,30,109907,79,2676,26,213362,4560,0,0,0,318302,6384,0,157279,52233,6361
0,761621,007129,5,1,2276,522,94648,21033,0,0,308,187,572,0,54550,1,101,30248,14,109872,31,19189,14,178472,4754,7,3,0,271871,591,0,177216,64275,17815
0,1160166,006334,0,0,31,268,76479,16388,0,0,1546,6792,108,0,4069,0,1660,14910,105,88508,2154,20637,0,322840,5987,0,1,0,282679,2149,0,104265,68985,28015
0,421117,009560,1,157,944,459,104740,60913,2,8,3755,12503,2734,2,47374,1,5072,37580,293,104072,119,11781,25,34097,1337,317,25,0,403421,302,0,175837,35016,5689
0,321759,000521,9,81,1449,305,257598,26733,12,6,2115,10463,1808,0,86320,0,646,32841,104,62918,1978,3589,11,68004,2372,1933,273,0,231917,5463,0,140864,90181,18583
0,320159,002505,2,0,2100,545,141721,72926,6,0,4172,2021,274,1,4882,0,2533,9215,542,180371,1682,18379,3,282937,12227,0,0,0,139714,1884,0,56352,84026,30061
0,720528,004997,3,2,1528,1178,85106,30507,6,0,10101,2686,678,1,6219,0,2230,14535,1134,214174,3250,80221,571,126372,442,44,0,0,308929,205,0,76766,64307,17381
0,960304,006315,1,3,139,998,143954,3873,0,0,4896,49,998,0,15168,0,26,16654,133,129663,278,3172,36,230000,2534,25,12,0,254356,646,0,132759,97659,10544
0,522228,011221,0,0,0,136,18882,291,0,0,260,83,1562,0,13863,0,31,35444,0,198156,3557,11046,1,191604,48,0,0,0,352865,10,0,157894,49841,13002
0,861825,011968,1,20,1820,1569,70461,19553,18,0,1512,3653,370,0,80430,0,445,7134,124,43084,47,970,4,305493,5156,452,12,0,202743,1347,0,196540,96005,9613
0,440457,005492,18,12,1862,253,272052,65561,16,0,4103,3544,2547,0,25870,0,3349,37760,626,129773,1182,57883,29,88554,205,384,3,0,232492,70,0,46434,67149,6845
0,761971,007965,3,4,400,2658,19891,14748,0,0,990,2027,767,0,47096,0,80,38004,9,143691,405,8933,5,180572,2302,37,1,0,342600,528,0,184198,56954,1673
0,700314,002394,0,229,3412,498,13318,48213,0,0,2244,6917,1846,16,51125,0,1092,41771,260,103468,754,33597,18,71930,1871,8,2,0,351875,800,0,243572,56003,13737
0,763178,011920,9,2,19,1642,265701,8783,0,0,718,3506,477,22,45936,0,79,43664,8,41564,356,790,11,144282,3419,60,5,0,233586,2804,0,101566,141306,8261
0,820688,002218,0,76,373,1495,51520,11277,0,0,1039,1654,1008,0,23460,0,4461,50940,196,72162,1227,17962,12,148454,5060,85,0,0,379044,663,0,215876,58000,2532
0,300107,002806,1,4,422,4719,90936,19363,0,1,1492,2433,1520,0,28538,0,257,42438,50,233333,4122,10129,5,159059,2616,64,4,0,231777,370,0,111361,88768,14794
0,861577,011808,4,27,1906,482,246315,20214,0,0,2368,177,89,1,58340,0,2843,53853,52,50807,1237,3741,7,144327,2272,389,58,0,201448,477,0,171439,73273,12430
0,880272,004561,0,0,912,356,56240,6688,0,0,2250,6793,1183,107,3043,0,74,20253,16,166624,1918,14112,13,259323,4691,0,1,0,242948,1078,0,163224,77962,18767
0,540584,003232,15,4,2744,623,371542,26767,52,0,1493,2758,666,0,21586,0,540,5746,780,62826,269,14951,21,130013,3094,94,0,0,162716,2491,0,141424,87508,7853
0,522420,011181,1,1,6243,5364,251916,4025,1,3,1485,7291,82,0,21459,0,168,11014,231,4156,161,3681,56,235877,4121,70,5,0,218459,5896,0,88189,69038,109583
0,860502,008027,0,39,427,408,62540,60488,164,1,732,6413,69,0,37718,7,2991,19628,510,103121,73,18548,3,84646,1872,1822,0,0,370392,454,0,222588,39246,13676
0,300581,002840,0,5,761,762,177612,76711,65,0,4076,2333,60,0,4047,0,6328,25458,3524,146273,948,17262,84,224923,13494,3,0,0,167661,391,0,52775,97406,25614
0,522418,011137,15,0,2694,299,638683,4240,48,0,3340,100,1023,2,2047,0,2326,9920,1850,165956,98,41077,41,28733,8007,0,4,0,22313,58,0,44561,43367,27774
0,600365,007564,1,0,2715,687,228950,1722,1,0,6821,883,2769,0,3134,0,113,3668,858,132948,750,34690,107,287592,2114,0,38,0,123797,1429,0,59000,122457,31332
0,421004,009063,0,0,772,86,173578,35446,268,1,3457,6894,5267,0,9810,0,17362,9388,1804,213993,645,23479,10,63917,3894,9,1,0,312209,206,0,80940,57596,27544
0,761480,006783,1,3785,1,206,22058,20289,0,0,2036,6734,382,0,130679,0,110,30444,1,80544,511,12317,1,37613,354,10098,1,0,318514,644,0,342206,28147,900
0,440271,010688,2,6,5847,1595,258606,35460,77,0,1456,1323,1425,0,53807,0,1716,29788,2386,57444,692,14331,78,174616,4467,79,11,0,229561,3510,0,74845,88576,6872
